season,playerId,team,player_name,weighted_avg,recent_form,form_change
2026,992242,Adelaide Crows,Jordan Dawson,16.2567166666666,16.2567166666666,0
2026,261224,Brisbane Lions,Dayne Zorko,14.7078527777778,14.7078527777778,0
2026,298290,Carlton,Marc Pittonet,16.4659055555555,16.4659055555555,0
2026,1023261,Collingwood,Nick Daicos,17.3794388888889,17.3794388888889,0
2026,992016,Essendon,Zach Merrett,14.8604861111111,14.8604861111111,0
2026,1009420,Fremantle,Caleb Serong,18.6601,18.6601,0
2026,1023266,GWS GIANTS,Finn Callaghan,14.7181333333333,14.7181333333333,0
2026,993878,Geelong Cats,Shaun Mannagh,16.1471333333333,16.1471333333333,0
2026,298210,Gold Coast SUNS,Christian Petracca,26.7490833333333,26.7490833333333,0
2026,1023473,Hawthorn,Nick Watson,16.7884888888889,16.7884888888889,0
2026,290528,Melbourne,Max Gawn,18.4599111111111,18.4599111111111,0
2026,1004965,North Melbourne,Tristan Xerri,17.1652555555556,17.1652555555556,0
2026,1006121,Port Adelaide,Zak Butters,19.8911166666666,19.8911166666666,0
2026,298174,Richmond,Toby Nankervis,14.7571333333334,14.7571333333334,0
2026,994389,St Kilda,Jack Sinclair,17.887125,17.887125,0
2026,293957,Sydney Swans,Brodie Grundy,18.5287722222222,18.5287722222222,0
2026,1005972,West Coast Eagles,Milan Murdock,15.5616125,15.5616125,0
2026,297373,Western Bulldogs,Marcus Bontempelli,24.5055611111111,24.5055611111111,0
