Club,year,actual_rank,forecast_a_rank,forecast_b_rank,finish_1_p10,finish_1_p25,finish_1_p75,finish_1_p90,finish_2_p10,finish_2_p25,finish_2_p75,finish_2_p90
Greater Western Sydney,2017,4,7.40083013234559,7.418647267586557,1,2.5575587933028032,11,15,2.1374796803151312,3,11,13
Hawthorn,2017,12,11.788103909802299,9.394556997680876,2,4,17.70086715611734,18,1,2,16.40173431223465,18
Melbourne,2017,7,8.600797232731429,9.409551911240694,3,4,13,13,3,4,13,14
North Melbourne,2017,15,7.512135165703732,8.133374727585423,4,4,10,15,1,1,14,16
Port Adelaide,2017,5,7.841770933223139,7.745479723511691,1,3,12,14,1,1,12,16
Richmond,2017,3,2.7278101249317337,5.0411027823944625,1,1,4,5,2,3,5,7
St Kilda,2017,11,9.791168361937462,7.611204401714936,7,8,13,14,3,3,12,14
Sydney,2017,6,6.508308337460382,6.166532203673797,1,2,10,12.194515778454502,1,3,9,14
West Coast,2017,9,8.613338470917968,9.528404025220167,1,2,13.612556463749343,15,4,6,14,15
Western Bulldogs,2017,10,8.099194338270374,7.542409228726361,1,3,14,15,2,2,10,12
Adelaide,2018,12,9.018833875314392,9.665824406672,3.184204852315492,6,11,15,4,5,14,16
Brisbane Lions,2018,15,10.924109463746273,11.12865595731104,5,9,12,15,6.280752113281281,9,13,15
Carlton,2018,18,14.3556982573779,10.632090277596038,11,13,16,18,5,7,16,17
Collingwood,2018,3,7.208641910420169,7.806341578766375,4,5,10,11,1,3,13,14
Essendon,2018,11,9.97699402181721,6.986700950998369,4,4.438826773092174,14,14.589888191565919,1,4,12,16
Fremantle,2018,14,12.519081079243113,10.598077722267893,8,11,16,17,3,4,14,17
Geelong,2018,8,7.830013981637473,7.506033962273781,3.9347345903981275,4,11,14.412611313583142,2,2,10,15
Gold Coast,2018,17,12.7798044527567,10.077171810199241,5,11,16,17,3,5,16,17
Greater Western Sydney,2018,7,8.422242651362707,8.348416857622084,5,5,13,13,3,3,13,15
Hawthorn,2018,4,8.984663478374964,9.522979086996578,3,3,12,13,4,4,14,18
Melbourne,2018,5,5.443629144250439,6.3128206178441,1,4,7,10,1,3,9,13
North Melbourne,2018,9,8.681554354144705,10.503084602917536,4,6,13,13,3,7,16,16
Port Adelaide,2018,10,11.17727525922334,10.823338648923873,6,9,17,17,2,3,18,18
Richmond,2018,1,6.062282070759186,5.610861067228529,1,4,7,13,1,1,9,9.213985112457436
St Kilda,2018,16,11.573657136756662,10.461868309361243,5,8,15,17,7,7,12,17
Sydney,2018,6,9.200887845930085,7.635631406571254,3,6,11,15,2,3,14,18
West Coast,2018,2,3.793639142775579,5.852986355831507,1,1.5116092107593886,4,8,2,3,7,12
Western Bulldogs,2018,13,10.274266965621917,9.163546135928536,4,7,15,15.760409764848589,2,5,17,17
Adelaide,2019,11,8.713225800124631,10.50980932203122,3,6,12,14,4,9,14,16
Brisbane Lions,2019,3,10.475706367908575,11.284788164293508,7,8,13,14,6,9,15,16
Carlton,2019,16,12.12455113887883,10.237501576421707,3,12,15,16,2,5,15,16
Collingwood,2019,4,5.548566096528829,6.127422601957963,1,3,8,9,2,3,9.386741686614641,12.39227007181276
Essendon,2019,8,8.115057230437468,7.2452491908128955,2,5,13,15.580854431007538,2,3,12,13
Fremantle,2019,13,11.292388458371674,10.487492359373983,3,8,16,17,4,5,15,18
Geelong,2019,1,8.028589272580412,7.546446755945797,4,4,9.748183556572798,14,1,2,14,15
Gold Coast,2019,18,11.739874902729659,9.504207785339045,8,9.360553670026434,12,16,4,7,12,13
Greater Western Sydney,2019,6,9.440382013524072,7.496902843993988,1.685397029425232,6,13,13,1,3,12,17.995793045674645
Hawthorn,2019,9,10.757763631476267,9.502317938015775,1,9,13,18,2,4,17,18
Melbourne,2019,17,6.335954996338928,4.992184652590018,1,1,10,13,1,1,8,11
North Melbourne,2019,12,10.386386069770737,10.303102164391778,7,8,12,16,1,9,14,15
Port Adelaide,2019,10,9.35197064841916,9.096700754226422,3,4,14,15,3,4,13,16
Richmond,2019,2,3.4158870156647803,5.525047309319692,1,2,4,8,2,3,7,12
St Kilda,2019,14,11.607702831770785,10.782306496090772,5,7,15,16.93199835220861,5,9,13,14.931998352208609
Sydney,2019,15,5.571883772625831,6.841964488854122,1,3,8,13,1,3,11,14
West Coast,2019,5,6.076618267804097,7.825237753281331,1,3,10,11,2,3,14,16
Western Bulldogs,2019,7,7.775532876530255,7.5230638690211835,5,5,9.990337956836782,15,2,6,9,10
Adelaide,2020,18,7.340132174497873,10.771502221685697,4,5,9,11,6,7,14,16
Brisbane Lions,2020,2,7.424078441408972,10.233524736180728,3,5,10,13,5,6,15,15
Carlton,2020,11,10.075074140808743,12.574774936655222,3.895497655418125,6,15,16,6,11,16,16
Collingwood,2020,8,7.943399765750282,9.18793047882866,1,3,13,15,2,2.6132819469598445,14,15
Essendon,2020,13,10.036077759198406,10.255810676469123,5,6,14,16,6,7,12.203271297709037,16
Fremantle,2020,12,6.570842269734613,8.632610776768365,3,4,8,10,1,6,13,14
Geelong,2020,4,11.650039595313666,11.298456400758402,4,10,16,16,4,5,15,18
Gold Coast,2020,14,9.754314221389327,7.18206196191659,5,7,12,13,2.249517274592428,5,10,13
Greater Western Sydney,2020,10,6.688512544437626,7.691593789700312,1,3,12,13.82219774154494,2,2,14,16
Hawthorn,2020,15,8.173535568501157,8.75815197954434,2.591620944064424,3,13,14,2,3,16,16
Melbourne,2020,9,6.980282626537531,9.30391003312103,3,3,8,16,3.717840060808582,5,13,14
North Melbourne,2020,17,11.58110223080399,11.135162695201732,4,7.341247174233828,15,15,3,7.341247174233828,15,16
Port Adelaide,2020,1,9.837808276589676,8.990237611097246,5.333236703126281,6,14,15,2,4,15,16
Richmond,2020,3,3.396674601810061,5.826939273423715,1,2,4,8,2,3,7,12
St Kilda,2020,6,7.0283649134948165,7.1122479241486,3,3,8.044352217278572,13,2,3,11,15
